Customer ID,Age,Age_BIN,Months as a Customer,Number of Products,RFM Score,Average Balance Feed Index,Number of Transactions,Personal Debt to Equity Ratio,Months Current Account,Number of Loan Accounts,Has Bad Payment Record,Members Within Household,Number of Call Center Contacts,Gender,Marital Status,Age Youngest Child,Number of Workers in Household,Percentage White Collar Workers,Household Debt to Equity Ratio,Income,Weeks Since Last Offer,Homeowner,Annual value,Accepted Home Equity Loan,Accepted Credit Card
5409,32,31-35,36,3,9.82899,229,2,40,13,0,0,5,9,F,S,11,6,37,56,39498,17,F,90,F,F
5477,61,61-65,48,2,11.80799,8,1,47,5,2,0,4,9,M,M,13,13,30,56,68600,22,F,260,F,F
5507,35,31-35,36,0,0,0,0,35,31,0,0,4,0,F,U,1,9,33,57,38791,27,T,0,T,F
8,59,56-60,0,0,0,0,1,45,3,0,0,1,11,M,U,15,7,30,62,82831,51,F,0,F,F
158,32,31-35,48,0,0,0,3,13,39,0,0,6,11,F,S,0,7,27,64,38097,8,T,0,T,F
173,51,51-55,48,2,11.819,119,2,45,6,3,0,5,9,F,S,14,10,28,60,47127,32,F,360,F,F
5408,40,36-40,36,0,0,0,1,40,5,0,0,4,7,M,U,7,10,40,48,38218,16,F,0,T,F
5579,33,31-35,36,0,0,0,1,36,28,0,0,1,8,F,S,7,4,36,58,36741,21,F,0,F,F
63318,68,66-70,24,0,7.879,0,0,73,17,0,0,7,11,F,S,44,12,30,57,34458,34,T,0,F,T
5732,33,31-35,36,2,9.91999,120,1,33,25,1,0,5,9,M,S,2,12,29,57,37474,46,T,160,T,F
5747,64,61-65,36,0,0,0,2,64,14,0,0,7,0,F,S,31,14,23,62,34560,48,T,0,F,F
5832,57,56-60,24,2,12.719,219,2,43,7,1,0,3,8,F,M,14,12,42,44,69490,32,F,160,F,F
5803,29,26-30,48,0,0,0,1,37,6,3,0,5,10,M,U,10,16,37,45,36830,14,F,300,F,F
5833,30,26-30,36,4,10.745667,279,2,35,19,0,0,3,8,F,U,6,14,44,40,37672,28,F,120,F,F
5960,59,56-60,36,3,7.584,84,2,59,8,0,0,4,11,F,M,29,10,24,65,23494,46,F,90,F,F
323,31,31-35,36,2,9.772333,139,0,15,26,0,0,3,11,F,S,0,7,27,64,38882,49,F,60,T,F
442,52,51-55,48,0,0,0,1,52,12,3,0,6,10,F,M,21,11,36,51,31873,41,F,300,F,F
6101,48,46-50,48,2,11.81999,120,1,41,20,0,0,3,11,F,S,7,4,36,58,44750,30,F,60,F,F
6331,78,76-80,0,0,0,0,1,78,5,0,0,3,9,M,U,49,7,31,61,25259,9,T,0,F,F
6366,29,26-30,36,0,0,0,2,37,16,0,0,3,10,F,U,6,14,44,40,36951,12,T,0,F,F
21778,66,66-70,36,13,0,520,13,72,32,1,0,7,0,M,M,42,13,40,46,30741,2,T,490,F,T
6337,57,56-60,36,5,12.762313,229,1,48,33,0,0,5,11,F,U,23,12,43,44,71966,5,F,150,F,F
29858,62,61-65,0,0,0,0,0,71,4,1,0,3,11,M,M,44,14,20,64,32245,26,F,100,F,T
959,60,56-60,0,0,0,0,0,49,2,5,0,4,5,F,S,22,10,32,56,71831,42,F,500,F,F
6882,52,51-55,36,4,7.865667,699,2,52,27,1,0,6,10,F,M,22,8,46,45,33489,31,T,220,F,F
6946,32,31-35,12,0,0,0,3,20,5,0,0,5,7,F,S,0,7,33,58,38319,33,F,0,T,F
7068,42,41-45,0,0,0,0,0,42,4,4,0,3,9,M,U,10,10,24,65,49045,50,F,400,T,F
7100,30,26-30,48,2,8.85399,154,1,28,17,1,0,2,6,F,S,0,10,36,52,39618,25,F,160,F,F
7186,30,26-30,36,0,0,0,0,28,12,2,0,4,0,M,S,0,14,29,55,36763,9,T,200,F,F
7266,59,56-60,36,0,0,0,0,41,24,1,0,1,0,F,M,13,7,39,52,82231,10,F,100,F,F
6989,27,26-30,0,0,0,0,2,28,1,0,0,1,0,M,S,0,18,18,63,37440,35,F,0,F,F
7048,60,56-60,36,0,0,0,1,49,25,1,0,2,0,M,M,18,14,26,59,45868,2,F,100,F,F
7367,43,41-45,48,3,8.966657,100,2,43,18,0,0,2,11,M,S,15,9,42,48,42356,10,T,90,T,F
10692,59,56-60,48,0,0,0,1,44,10,1,0,3,10,F,M,13,7,39,52,51527,4,F,100,F,F
1478,32,31-35,48,0,0,0,2,40,36,2,0,2,4,F,M,10,8,44,47,38551,2,F,200,F,F
1644,45,41-45,48,0,0,0,1,43,17,1,0,6,10,M,S,12,10,36,53,73024,31,T,100,F,F
81446,67,66-70,12,0,0,0,0,71,7,1,0,5,10,F,S,40,10,31,57,33928,42,F,100,F,T
37,27,26-30,0,0,0,0,0,32,4,1,0,1,0,M,M,1,8,25,66,39083,49,F,100,F,F
65873,62,61-65,36,4,0,254,3,69,25,2,0,7,8,F,M,41,4,28,66,32581,35,T,320,F,T
53,29,26-30,48,4,12.995667,129,2,34,36,0,0,2,9,M,S,4,14,33,51,37896,37,F,120,F,F
1695,33,31-35,36,0,0,0,0,38,32,0,0,5,9,F,S,10,11,43,45,39656,35,F,0,F,F
1794,33,31-35,48,1,8.083323,150,3,33,9,1,0,4,10,F,M,2,12,46,41,39238,2,F,130,T,F
11362,28,26-30,48,4,11.248,148,0,39,39,0,0,3,11,F,S,13,11,27,61,37638,14,T,120,F,F
11380,56,56-60,36,2,0,0,1,50,1,0,0,2,9,M,S,20,14,21,63,77648,17,T,60,F,F
469,32,31-35,36,3,12.39993,200,0,37,24,1,0,4,8,F,M,4,8,40,51,38730,25,F,190,F,F
11548,47,46-50,48,4,9.902333,169,0,44,36,1,0,4,9,M,U,19,13,26,59,53877,36,F,220,F,F
43246,62,61-65,24,0,0,0,0,66,13,1,0,6,11,M,U,36,20,26,53,32696,47,F,100,F,T
769,26,26-30,36,2,8.665667,299,1,33,24,0,0,2,10,M,M,1,10,19,69,39231,47,F,60,F,F
85739,56,56-60,36,0,0,0,0,65,28,0,0,3,11,M,S,30,8,27,63,37103,27,T,0,F,T
5504,31,31-35,36,0,0,0,0,40,8,0,0,3,9,M,S,8,9,22,67,39125,9,F,0,F,F
5520,62,61-65,36,2,9.215667,249,1,46,32,0,0,5,10,F,M,15,11,23,64,67116,6,F,60,F,F
11044,62,61-65,36,0,0,0,0,64,32,0,0,5,10,M,S,30,8,27,63,30789,14,F,0,F,T
